player_id,matches_won,matches_lost,grand_slam_matches_won,grand_slam_matches_lost,tour_finals_matches_won,tour_finals_matches_lost,alt_finals_matches_won,alt_finals_matches_lost,masters_matches_won,masters_matches_lost,olympics_matches_won,olympics_matches_lost,atp500_matches_won,atp500_matches_lost,atp250_matches_won,atp250_matches_lost,best_of_3_matches_won,best_of_3_matches_lost,best_of_5_matches_won,best_of_5_matches_lost,hard_matches_won,hard_matches_lost,clay_matches_won,clay_matches_lost,grass_matches_won,grass_matches_lost,carpet_matches_won,carpet_matches_lost,outdoor_matches_won,outdoor_matches_lost,indoor_matches_won,indoor_matches_lost,deciding_sets_won,deciding_sets_lost,fifth_sets_won,fifth_sets_lost,finals_won,finals_lost
589,7.0,12.0,1.0,1.0,,,,,0.0,1.0,,,0.0,1.0,6.0,9.0,6.0,11.0,1.0,1.0,4.0,5.0,0.0,4.0,2.0,2.0,1.0,1.0,5.0,9.0,2.0,3.0,3.0,1.0,1.0,0.0,,
689,340.0,203.0,65.0,36.0,1.0,4.0,4.0,4.0,73.0,45.0,5.0,1.0,72.0,40.0,117.0,64.0,253.0,153.0,87.0,50.0,131.0,84.0,8.0,19.0,90.0,37.0,111.0,63.0,203.0,130.0,137.0,73.0,88.0,87.0,10.0,15.0,12.0,10.0
127,401.0,287.0,45.0,32.0,3.0,4.0,,,55.0,48.0,,,45.0,33.0,247.0,165.0,340.0,241.0,61.0,46.0,160.0,100.0,60.0,57.0,86.0,58.0,95.0,72.0,270.0,185.0,131.0,102.0,151.0,95.0,9.0,7.0,9.0,15.0
555,381.0,152.0,33.0,23.0,2.0,6.0,0.0,2.0,53.0,20.0,,,45.0,23.0,222.0,59.0,327.0,113.0,54.0,39.0,44.0,17.0,304.0,89.0,11.0,10.0,22.0,36.0,355.0,115.0,26.0,37.0,82.0,48.0,17.0,9.0,25.0,10.0
522,18.0,32.0,0.0,5.0,,,,,1.0,5.0,,,3.0,4.0,14.0,18.0,18.0,27.0,0.0,5.0,8.0,13.0,1.0,3.0,2.0,9.0,7.0,7.0,11.0,23.0,7.0,9.0,6.0,6.0,0.0,1.0,,
682,9.0,11.0,0.0,1.0,,,,,1.0,2.0,,,2.0,2.0,5.0,6.0,9.0,10.0,0.0,1.0,9.0,9.0,0.0,2.0,,,,,9.0,11.0,,,5.0,5.0,0.0,1.0,,
674,8.0,13.0,0.0,3.0,,,,,,,,,0.0,1.0,8.0,9.0,8.0,10.0,0.0,3.0,2.0,3.0,3.0,2.0,3.0,6.0,0.0,2.0,8.0,11.0,0.0,2.0,1.0,3.0,,,,
567,104.0,119.0,13.0,19.0,,,,,13.0,23.0,,,19.0,23.0,59.0,54.0,90.0,98.0,14.0,21.0,47.0,56.0,7.0,9.0,13.0,19.0,37.0,35.0,50.0,71.0,54.0,48.0,28.0,42.0,2.0,3.0,0.0,2.0
630,6.0,21.0,0.0,2.0,,,,,1.0,1.0,,,,,5.0,18.0,6.0,17.0,0.0,4.0,,,6.0,21.0,,,,,6.0,21.0,,,3.0,3.0,,,,
44,6.0,17.0,0.0,7.0,,,,,0.0,3.0,,,1.0,1.0,5.0,6.0,4.0,7.0,2.0,10.0,,,6.0,7.0,0.0,10.0,,,6.0,17.0,,,1.0,2.0,0.0,2.0,,
